Date,Open,High,Low,Close,Adj Close,Volume
2020-11-13,0.128970,0.128986,0.128957,0.128969,0.128969,0
2020-11-16,0.128979,0.129002,0.128969,0.128977,0.128977,0
2020-11-17,0.128972,0.129014,0.128971,0.128977,0.128977,0
2020-11-18,0.128991,0.129012,0.128977,0.128994,0.128994,0
2020-11-19,0.128998,0.129009,0.128961,0.128994,0.128994,0
2020-11-20,0.128992,0.129001,0.128969,0.128989,0.128989,0
2020-11-23,0.128997,0.129014,0.128976,0.128996,0.128996,0
2020-11-24,0.129000,0.129019,0.128986,0.128996,0.128996,0
2020-11-25,0.129009,0.129027,0.128997,0.129009,0.129009,0
2020-11-26,0.129013,0.129034,0.129006,0.129013,0.129013,0
2020-11-27,0.129021,0.129036,0.129009,0.129021,0.129021,0
2020-11-30,0.129024,0.129031,0.128985,0.129024,0.129024,0
2020-12-01,0.129007,0.129017,0.128984,0.129012,0.129012,0
2020-12-02,0.129000,0.129017,0.128979,0.129001,0.129001,0
2020-12-03,0.129006,0.129019,0.128996,0.128999,0.128999,0
2020-12-04,0.129014,0.129037,0.129004,0.129012,0.129012,0
2020-12-07,0.129024,0.129028,0.129012,0.129024,0.129024,0
2020-12-08,0.129017,0.129027,0.129009,0.129019,0.129019,0
2020-12-09,0.129014,0.129027,0.128992,0.129009,0.129009,0
2020-12-10,0.129009,0.129026,0.128984,0.129009,0.129009,0
2020-12-11,0.129009,0.129036,0.129002,0.129009,0.129009,0
2020-12-14,0.129012,0.129016,0.128992,0.129012,0.129012,0
2020-12-15,0.129006,0.129019,0.128990,0.129006,0.129006,0
2020-12-16,0.129013,0.129013,0.128986,0.129012,0.129012,0
2020-12-17,0.128994,0.129017,0.128974,0.129009,0.129009,0
2020-12-18,0.128998,0.129004,0.128972,0.128997,0.128997,0
2020-12-21,0.128996,0.129004,0.128966,0.128997,0.128997,0
2020-12-22,0.128986,0.129002,0.128972,0.128988,0.128988,0
2020-12-23,0.128987,0.129009,0.128980,0.128989,0.128989,0
2020-12-24,0.128987,0.129002,0.128976,0.128993,0.128993,0
2020-12-25,0.128979,0.128990,0.128956,0.128977,0.128977,0
2020-12-28,0.128975,0.129004,0.128967,0.128975,0.128975,0
2020-12-29,0.128969,0.129001,0.128961,0.128956,0.128956,0
2020-12-30,0.128971,0.129006,0.128969,0.128970,0.128970,0
2020-12-31,0.128999,0.129015,0.128968,0.128996,0.128996,0
2021-01-01,0.128979,0.129021,0.128936,0.128979,0.128979,0
